,name,description,variables
0,B17015,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY SOCIAL SECURITY INCOME BY SUPPLEMENTAL SECURITY INCOME (SSI) AND CASH PUBLIC ASSISTANCE INCOME,http://api.census.gov/data/2019/acs/acs5/groups/B17015.json
1,B18104,SEX BY AGE BY COGNITIVE DIFFICULTY,http://api.census.gov/data/2019/acs/acs5/groups/B18104.json
2,B17016,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY WORK EXPERIENCE OF HOUSEHOLDER AND SPOUSE,http://api.census.gov/data/2019/acs/acs5/groups/B17016.json
3,B18105,SEX BY AGE BY AMBULATORY DIFFICULTY,http://api.census.gov/data/2019/acs/acs5/groups/B18105.json
4,B17017,POVERTY STATUS IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B17017.json
5,B18106,SEX BY AGE BY SELF-CARE DIFFICULTY,http://api.census.gov/data/2019/acs/acs5/groups/B18106.json
6,B17018,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B17018.json
7,B18107,SEX BY AGE BY INDEPENDENT LIVING DIFFICULTY,http://api.census.gov/data/2019/acs/acs5/groups/B18107.json
8,B19301A,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B19301A.json
9,B07001PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07001PR.json
10,B17011,AGGREGATE INCOME DEFICIT (DOLLARS) IN THE PAST 12 MONTHS FOR FAMILIES BY FAMILY TYPE,http://api.census.gov/data/2019/acs/acs5/groups/B17011.json
11,B17012,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF RELATED CHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B17012.json
12,B18101,SEX BY AGE BY DISABILITY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B18101.json
